publisher,topic,total_time_seconds
127.0.0.1:5556,A,0.0006699562072753906
127.0.0.1:5556,A,0.0004286766052246094
127.0.0.1:5556,A,0.0004284381866455078
127.0.0.1:5556,A,0.0006394386291503906
127.0.0.1:5556,A,0.00042057037353515625
127.0.0.1:5556,A,0.0005381107330322266
127.0.0.1:5556,A,0.0005350112915039062
127.0.0.1:5556,A,0.0002491474151611328
127.0.0.1:5556,A,0.00029087066650390625
127.0.0.1:5556,A,0.0004923343658447266
127.0.0.1:5556,A,0.00036215782165527344
127.0.0.1:5556,A,0.0004894733428955078
127.0.0.1:5556,A,0.0003197193145751953
127.0.0.1:5556,A,0.0003304481506347656
127.0.0.1:5556,A,0.0003223419189453125
127.0.0.1:5556,A,0.000499725341796875
127.0.0.1:5556,A,0.0003190040588378906
127.0.0.1:5556,A,0.00048470497131347656
127.0.0.1:5556,A,0.00047898292541503906
127.0.0.1:5556,A,0.0003662109375
127.0.0.1:5556,A,0.0005047321319580078
127.0.0.1:5556,A,0.00045108795166015625
127.0.0.1:5556,A,0.0005061626434326172
127.0.0.1:5556,A,0.0004138946533203125
127.0.0.1:5556,A,0.00033736228942871094
127.0.0.1:5556,A,0.0004050731658935547
127.0.0.1:5556,A,0.0003330707550048828
127.0.0.1:5556,A,0.0004925727844238281
127.0.0.1:5556,A,0.0005061626434326172
127.0.0.1:5556,A,0.0003197193145751953
